loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_precision,eval_recall,eval_f1,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.7744,4.29661750793457,1.9583333333333333e-05,0.06578947368421052,20,,,,,,,,,,,,,
0.6741,3.1236379146575928,1.9144736842105264e-05,0.13157894736842105,40,,,,,,,,,,,,,
,,,0.16447368421052633,50,0.6048188209533691,0.6782407407407407,0.7350427350427351,0.5574074074074075,0.6340179041600843,1.3292,1625.067,25.58,,,,,
0.6662,11.71479606628418,1.8706140350877194e-05,0.19736842105263158,60,,,,,,,,,,,,,
0.6224,5.156008243560791,1.8267543859649125e-05,0.2631578947368421,80,,,,,,,,,,,,,
0.6415,2.55119252204895,1.7828947368421056e-05,0.32894736842105265,100,,,,,,,,,,,,,
,,,0.32894736842105265,100,0.5759879946708679,0.6912037037037037,0.8517887563884157,0.46296296296296297,0.5998800239952009,1.2841,1682.048,26.477,,,,,
0.598,3.454162120819092,1.7390350877192984e-05,0.39473684210526316,120,,,,,,,,,,,,,
0.5545,4.539468288421631,1.6951754385964915e-05,0.4605263157894737,140,,,,,,,,,,,,,
,,,0.4934210526315789,150,0.6654852032661438,0.6194444444444445,0.5739678899082569,0.9268518518518518,0.7089235127478754,1.2729,1696.887,26.71,,,,,
0.6709,23.68182373046875,1.6513157894736845e-05,0.5263157894736842,160,,,,,,,,,,,,,
0.6377,3.2166755199432373,1.6074561403508773e-05,0.5921052631578947,180,,,,,,,,,,,,,
0.5551,5.303507328033447,1.5635964912280704e-05,0.6578947368421053,200,,,,,,,,,,,,,
,,,0.6578947368421053,200,0.5134757161140442,0.7384259259259259,0.7386468952734013,0.7379629629629629,0.7383047707271885,1.2906,1673.635,26.344,,,,,
0.5479,4.834855556488037,1.5197368421052631e-05,0.7236842105263158,220,,,,,,,,,,,,,
0.5757,7.345831871032715,1.4758771929824562e-05,0.7894736842105263,240,,,,,,,,,,,,,
,,,0.8223684210526315,250,0.5286526679992676,0.7333333333333333,0.6911987860394537,0.8435185185185186,0.7597998331943286,1.2694,1701.59,26.784,,,,,
0.5458,16.176105499267578,1.4320175438596493e-05,0.8552631578947368,260,,,,,,,,,,,,,
0.5897,6.928638935089111,1.3881578947368422e-05,0.9210526315789473,280,,,,,,,,,,,,,
0.5374,6.147420406341553,1.3442982456140351e-05,0.9868421052631579,300,,,,,,,,,,,,,
,,,0.9868421052631579,300,0.4704945385456085,0.7773148148148148,0.7899322362052275,0.7555555555555555,0.7723615712257453,1.2676,1703.95,26.821,,,,,
0.4933,7.334857940673828,1.3004385964912282e-05,1.0526315789473684,320,,,,,,,,,,,,,
0.5559,16.643310546875,1.2565789473684211e-05,1.118421052631579,340,,,,,,,,,,,,,
,,,1.1513157894736843,350,0.47755634784698486,0.762962962962963,0.7624768946395564,0.7638888888888888,0.7631822386679001,1.2728,1697.038,26.713,,,,,
0.4846,4.0121169090271,1.2127192982456142e-05,1.1842105263157894,360,,,,,,,,,,,,,
0.4567,5.442723274230957,1.168859649122807e-05,1.25,380,,,,,,,,,,,,,
0.4663,4.668013572692871,1.125e-05,1.3157894736842106,400,,,,,,,,,,,,,
,,,1.3157894736842106,400,0.45623040199279785,0.775,0.7724770642201835,0.7796296296296297,0.776036866359447,1.2968,1665.688,26.219,,,,,
0.451,4.297368049621582,1.0811403508771932e-05,1.381578947368421,420,,,,,,,,,,,,,
0.4686,5.131381034851074,1.037280701754386e-05,1.4473684210526316,440,,,,,,,,,,,,,
,,,1.4802631578947367,450,0.4463646709918976,0.7842592592592592,0.8465011286681715,0.6944444444444444,0.762970498474059,1.2728,1697.008,26.712,,,,,
0.5578,21.93182373046875,9.93421052631579e-06,1.513157894736842,460,,,,,,,,,,,,,
0.5459,7.9590582847595215,9.49561403508772e-06,1.5789473684210527,480,,,,,,,,,,,,,
0.4861,2.8448989391326904,9.05701754385965e-06,1.6447368421052633,500,,,,,,,,,,,,,
,,,1.6447368421052633,500,0.4749033749103546,0.7694444444444445,0.7425,0.825,0.781578947368421,1.2711,1699.284,26.748,,,,,
0.4569,15.472718238830566,8.61842105263158e-06,1.7105263157894737,520,,,,,,,,,,,,,
0.4488,6.674078941345215,8.17982456140351e-06,1.776315789473684,540,,,,,,,,,,,,,
,,,1.8092105263157894,550,0.4521195590496063,0.7726851851851851,0.7519247219846023,0.8138888888888889,0.7816807469986661,1.2716,1698.588,26.737,,,,,
0.4768,8.679121017456055,7.74122807017544e-06,1.8421052631578947,560,,,,,,,,,,,,,
0.4593,7.844842910766602,7.302631578947369e-06,1.9078947368421053,580,,,,,,,,,,,,,
0.4491,4.165088653564453,6.8640350877192984e-06,1.973684210526316,600,,,,,,,,,,,,,
,,,1.973684210526316,600,0.4323959946632385,0.7958333333333333,0.8075072184793071,0.7768518518518519,0.7918829636621048,1.2987,1663.197,26.18,,,,,
0.451,11.151859283447266,6.425438596491229e-06,2.039473684210526,620,,,,,,,,,,,,,
0.4454,5.721137046813965,5.9868421052631585e-06,2.1052631578947367,640,,,,,,,,,,,,,
,,,2.138157894736842,650,0.4340715706348419,0.7930555555555555,0.8307210031347962,0.7361111111111112,0.780559646539028,1.2702,1700.579,26.768,,,,,
0.4039,6.664565563201904,5.5482456140350885e-06,2.1710526315789473,660,,,,,,,,,,,,,
0.4514,16.470321655273438,5.109649122807018e-06,2.236842105263158,680,,,,,,,,,,,,,
0.4299,2.340825319290161,4.671052631578948e-06,2.3026315789473686,700,,,,,,,,,,,,,
,,,2.3026315789473686,700,0.4442472755908966,0.7842592592592592,0.7597292724196277,0.8314814814814815,0.7939876215738285,1.2713,1699.047,26.744,,,,,
0.4284,3.3266782760620117,4.232456140350878e-06,2.3684210526315788,720,,,,,,,,,,,,,
0.4527,11.281639099121094,3.7938596491228073e-06,2.4342105263157894,740,,,,,,,,,,,,,
,,,2.4671052631578947,750,0.43014588952064514,0.7972222222222223,0.7961254612546126,0.799074074074074,0.7975970425138632,1.2709,1699.568,26.752,,,,,
0.3999,10.25308895111084,3.355263157894737e-06,2.5,760,,,,,,,,,,,,,
0.4129,4.192265033721924,2.916666666666667e-06,2.5657894736842106,780,,,,,,,,,,,,,
0.4076,3.308732748031616,2.4780701754385966e-06,2.6315789473684212,800,,,,,,,,,,,,,
,,,2.6315789473684212,800,0.43823373317718506,0.7847222222222222,0.8530424799081515,0.687962962962963,0.7616606868272681,1.2956,1667.124,26.242,,,,,
0.4184,7.011346817016602,2.0394736842105266e-06,2.6973684210526314,820,,,,,,,,,,,,,
0.4038,6.279766082763672,1.6008771929824562e-06,2.763157894736842,840,,,,,,,,,,,,,
,,,2.7960526315789473,850,0.42184916138648987,0.7921296296296296,0.8196555217831814,0.7490740740740741,0.7827769714562167,1.2696,1701.316,26.78,,,,,
0.4137,5.89914608001709,1.162280701754386e-06,2.8289473684210527,860,,,,,,,,,,,,,
0.3931,5.261476993560791,7.236842105263158e-07,2.8947368421052633,880,,,,,,,,,,,,,
0.4025,3.638643264770508,2.850877192982456e-07,2.9605263157894735,900,,,,,,,,,,,,,
,,,2.9605263157894735,900,0.4222732186317444,0.7949074074074074,0.8220424671385238,0.7527777777777778,0.7858869018849686,1.2743,1695.086,26.682,,,,,
,,,3.0,912,,,,,,,,,138.7643,420.281,6.572,0.0,0.5043105592853144
,,,3.0,912,0.43014588952064514,0.7972222222222223,0.7961254612546126,0.799074074074074,0.7975970425138632,1.3161,1641.154,25.833,,,,,
